title|category|lat|lng
両国国技館|landmark|35.6969166667|139.793527778
シカゴ||41.9|-87.65
愛媛県|landmark|34.3016666667|133.274722222
愛媛県|landmark|33.3444444444|132.0125
岡山県|landmark|35.0530555556|133.266666667
香川県|landmark|34.1077777778|133.446666667
香川県|landmark|34.0122222222|133.688055556
岐阜県||35.3911111111|136.721944444
熊本県||32.7902777778|130.740833333
佐賀県||33.2494444444|130.298888889
静岡県||34.9769444444|138.383055556
島根県|landmark|34.5041666667|131.667777778
島根県|landmark|34.3025|131.820277778
徳島県|landmark|33.8816666667|133.660833333
鳥取県|landmark|35.6144444444|134.37
鳥取県|landmark|35.0702777778|133.135833333
長野県||36.6513888889|138.181111111
兵庫県|landmark|34.8519444444|134.2525
広島県|landmark|35.1055555556|132.888333333
広島県|landmark|34.5013888889|132.036388889
宮崎県||31.9108333333|131.423611111
山口県||34.1861111111|131.470555556
山梨県||35.6638888889|138.568333333
山梨県|landmark|35.7144444444|138.180277778
兼六園||36.5621388889|136.6625
スーパーカミオカンデ||36.4166666667|137.3
アメリカ航空宇宙局|landmark|38.8830555556|-77.0163888889
関西国際空港||34.4341666667|135.232777778
任天堂|landmark|34.9697222222|135.756194444
龍安寺||35.0344944444|135.718252778
佐鳴湖||34.7105555556|137.690277778
IBM|landmark|41.1080555556|-73.72
インテル||-37.3879277778|-121.963538889
インテル||35.6769944444|139.761166667
ソニー||35.6311944444|139.74375
帝国大学||35.7134416667|139.762230556
帝国大学||35.0260472222|135.780833333
帝国大学||38.2542916667|140.874391667
帝国大学||33.62275|130.425330556
帝国大学||43.0715138889|141.346719444
帝国大学||37.4593416667|126.952086111
帝国大学||25.0139166667|121.529838889
帝国大学||34.818675|135.523952778
帝国大学||35.1543888889|136.965480556
地球シミュレータ|edu|35.3808333333|139.626333333
地球シミュレータ|edu|35.3808333333|139.626333333
Mozilla Foundation|landmark|37.3880555556|-122.082777778
ティン・パン・アレー|landmark|40.7455555556|-73.9895833333
アポロ11号|event|13.3166666667|-169.15
北海道大学||43.0747222222|141.340833333
マイクロソフト||47.6386111111|-122.130277778
京都大学||35.0261111111|135.780833333
サンフランシスコ||37.7666666667|-122.433333333
ブエノスアイレス||-34.6036111111|-58.3816666667
アスンシオン||-25.2963888889|-57.6413888889
モンテビデオ||-34.8833333333|-56.1666666667
ラパス||-16.5022222222|-68.1655555556
ブラジリア||-15.8|-47.8638888889
日本テレビ放送網||35.6644194444|139.759911111
ワールドトレードセンター (ニューヨーク)||40.7116666667|-74.0136111111
駿河湾||34.8|138.5
白浜町|city|33.6781388889|135.348111111
ビキニ環礁||11.5833333333|165.383333333
真珠湾||21.359255|-157.951813
バチカン|country|41.9025|12.4516666667
ベル研究所||40.6833333333|-74.4008333333
総務省|landmark|35.675366|139.7511182
厚生労働省||35.673|139.753
経済産業省|landmark|35.6722222222|139.750833333
法務省||35.6763888889|139.753333333
防衛省||35.693|139.728
気象庁||35.6895833333|139.761694444
クスコ||-13.5|-71.9666666667
東日本旅客鉄道||35.6872222222|139.7
京成津田沼駅||35.6836111111|140.024444444
津田沼駅|railwaystation|35.6911111111|140.020555556
成田空港駅||35.7639722222|140.384638889
青砥駅||35.7458888889|139.856305556
東成田駅||35.7700833333|140.387222222
千葉駅|railwaystation|35.6130555556|140.113888889
千葉駅|railwaystation|35.6122222222|140.114305556
京都駅|railwaystation|34.9854583333|135.757755556
京都駅|railwaystation|34.9846722222|135.757513889
京都駅|railwaystation|34.9855472222|135.760122222
クリエイティブ・コモンズ|landmark|37.7873055556|-122.398444444
梅田駅|railwaystation|34.7009694444|135.496444444
梅田駅|railwaystation|34.7055138889|135.498311111
梅田駅|railwaystation|34.7028388889|135.497747222
梅田駅|railwaystation|34.7037166667|135.493230556
京成船橋駅||35.6999666667|139.985127778
福島駅 (阪神)||34.6960277778|135.488275
船橋競馬場駅||35.6897527778|139.997936111
谷津駅||35.6853055556|140.007555556
天王寺駅|railwaystation|34.6473222222|135.513938889
天王寺駅|railwaystation|34.6463166667|135.512933333
オアフ島|isle|21.4666666667|-157.983333333
難波駅|railwaystation|34.6634111111|135.501911111
野田阪神駅||34.6946083333|135.474847222
新大阪駅|railwaystation|34.7334833333|135.500113889
新大阪駅|railwaystation|34.733475|135.498536111
南紀白浜空港||33.6622222222|135.364444444
ロッテルダム||51.922832|4.479606
東京湾|waterbody|35.057792|139.717389
笹塚駅||35.6736666667|139.667222222
KDDI||35.7004444444|139.7505
日本国有鉄道||35.6831916667|139.765825
立川駅|railwaystation|35.6978888889|139.413944444
九州大学|edu|33.6253888889|130.424694444
南極大陸||-90.0|0.0
ソフトバンクモバイル||35.66305|139.761286111
衆議院||35.6751666667|139.744944444
アヌラダープラ||6.93444444444|79.8427777778
NTTドコモ||35.6731388889|139.740666667
上野駅|railwaystation|35.7138888889|139.777222222
西日暮里駅|railwaystation|35.7323611111|139.766805556
西日暮里駅|railwaystation|35.7320833333|139.766666667
西日暮里駅|railwaystation|35.7336111111|139.768111111
箱根湯本駅|railwaystation|35.2333333333|139.103527778
町屋駅|railwaystation|35.7422222222|139.781388889
町屋駅|railwaystation|35.7419444444|139.78
町屋駅|railwaystation|35.7427777778|139.780833333
サンクトペテルブルク||59.9333333333|30.3333333333
富士山|mountain|35.360628|138.727365
名古屋大学||35.1525|136.968611111
死を待つ人々の家|landmark|22.5203055556|88.3416111111
スタジオジブリ|landmark|35.7030555556|139.529166667
大正駅 (大阪府)|railwaystation|34.6655194444|135.479975
大正駅 (大阪府)|railwaystation|34.6661194444|135.479052778
大阪城公園駅||34.6885777778|135.534480556
四国|landmark|33.3438888889|132.014444444
小豆島||34.5136111111|134.285555556
国土地理院||36.1045833333|140.084583333
淡路島||34.3717777778|134.832458333
大三島||34.2452777778|133.010777778
大和 (戦艦)||30.7213888889|128.066666667
京成高砂駅|railwaystation|35.7509722222|139.866944444
神戸駅 (兵庫県)||34.6795277778|135.178025
筑波大学||36.1113888889|140.103888889
横浜駅|railwaystation|35.4661111111|139.6225
横浜駅|railwaystation|35.46625|139.622222222
横浜駅|railwaystation|35.4661111111|139.623055556
横浜駅|railwaystation|35.4658333333|139.621805556
横浜駅|railwaystation|35.465|139.620277778
大船駅|railwaystation|35.3536111111|139.531111111
大船駅|railwaystation|35.3522222222|139.531388889
北鎌倉駅||35.3372222222|139.545138889
鎌倉駅|railwaystation|35.3190277778|139.550416667
鎌倉駅|railwaystation|35.3185|139.550083333
横浜高速鉄道|railwaystation|35.4417222222|139.651472222
都市再生機構||35.4501388889|139.635111111
大井競馬場||35.5934444444|139.743305556
岩木山|mountain|40.6558333333|140.303055556
八幡平|mountain|39.9577777778|140.854166667
新千歳空港||42.775|141.692222222
最高裁判所 (日本)|landmark|35.68|139.743888889
マサチューセッツ工科大学|landmark|42.3597222222|-71.0922222222
アメリカ国家安全保障局|landmark|39.1077777778|-76.7708333333
東京競馬場||35.6622222222|139.485555556
YRP野比駅||35.2121111111|139.685
府中駅 (東京都)||35.6721111111|139.480555556
東府中駅||35.6688888889|139.495277778
分倍河原駅|railwaystation|35.6685555556|139.468722222
大崎駅||35.6197222222|139.728555556
藤沢駅|railwaystation|35.3388888889|139.487222222
藤沢駅|railwaystation|35.3386111111|139.4875
藤沢駅|railwaystation|35.3372222222|139.487222222
大宮駅 (埼玉県)||35.9062777778|139.623833333
大宮駅 (埼玉県)||35.9076|139.624444444
大宮駅 (埼玉県)||35.9069166667|139.622805556
藤沢本町駅|railwaystation|35.3480555556|139.476111111
東京大学物性研究所||35.9018888889|139.937083333
小田原駅|railwaystation|35.2563888889|139.154861111
小田原駅|railwaystation|35.25625|139.15625
小田原駅|railwaystation|35.2558333333|139.155555556
小田原駅|railwaystation|35.2563888889|139.155416667
桜木町駅|railwaystation|35.4509166667|139.631055556
桜木町駅|railwaystation|35.4502777778|139.630277778
桜木町駅|railwaystation|35.4508333333|139.630833333
阿蘇山||32.8841666667|131.103888889
目黒駅|railwaystation|35.6340277778|139.715833333
目黒駅|railwaystation|35.6333333333|139.715555556
